# step=37957 time_fs=239785.00 v_cell=-6.000993e-1 applied_i=-5.999742e-2
id,species,x,y,charge,vx,vy
3712,DMC,-200.0001,-100.0023,-0.000000e0,-1.2597e-5,-1.0662e-5
3121,DMC,-194.7572,-100.0022,-0.000000e0,-2.5390e-4,-1.1337e-4
7,LithiumMetal,-159.8112,-100.0004,-1.000000e0,-4.5564e-5,1.1928e-4
8,LithiumMetal,-154.6122,-100.0009,-1.000000e0,-1.9320e-5,1.4260e-5
3700,DMC,-115.1745,-100.0017,-0.000000e0,-1.0075e-4,-1.4478e-4
50,LithiumMetal,-199.8248,-95.9861,-0.000000e0,-2.8524e-5,-8.3988e-6
35,LithiumMetal,-196.8402,-96.5640,-0.000000e0,-1.7383e-6,4.6201e-5
52,LithiumMetal,-193.7643,-95.5656,-0.000000e0,-6.7442e-5,-4.4056e-6
34,LithiumMetal,-190.7372,-100.0000,-1.000000e0,-1.8514e-4,8.7794e-5
2,LithiumMetal,-187.6438,-100.0000,-1.000000e0,-1.5340e-4,1.5111e-4
2888,SEI,-189.5031,-95.2898,0.000000e0,-6.0958e-5,-7.2649e-7
3499,DMC,-200.0001,-91.9701,-0.000000e0,6.3797e-6,-1.1022e-5
3275,DMC,-194.9124,-91.7051,-0.000000e0,4.9589e-5,3.4281e-5
67,LithiumMetal,-190.4973,-91.1372,-0.000000e0,-6.1204e-5,-1.0401e-6
37,LithiumMetal,-185.7014,-97.2325,-1.000000e0,-8.3586e-5,-4.7496e-5
84,LithiumMetal,-184.3096,-100.0000,-1.000000e0,-8.8188e-5,1.9798e-4
36,LithiumMetal,-183.1596,-95.3926,-1.000000e0,-7.4768e-5,1.0858e-5
18,LithiumMetal,-181.1994,-100.0000,-1.000000e0,-7.6186e-5,1.6464e-4
3,LithiumMetal,-178.1595,-100.0000,-1.000000e0,-7.1629e-5,1.7324e-4
53,LithiumMetal,-180.3706,-96.8960,-0.000000e0,-1.6309e-7,-1.1015e-7
4,LithiumMetal,-175.0948,-100.0000,-1.000000e0,-7.1653e-5,2.1504e-4
100,LithiumMetal,-175.8532,-95.8293,-1.000000e0,-9.6510e-5,-4.1504e-5
163,LithiumMetal,-182.1467,-91.0484,-1.000000e0,-6.1712e-5,-4.6290e-5
2889,SEI,-186.3317,-90.2008,0.000000e0,-5.7978e-5,-1.1592e-5
3050,SEI,-178.0217,-92.1513,0.000000e0,-5.2578e-5,-1.4897e-5
22,LithiumMetal,-176.0244,-88.3772,-1.000000e0,-6.4031e-5,-4.2568e-6
3135,DMC,-200.0023,-86.9710,-0.000000e0,-5.2566e-5,-9.5358e-6
19,LithiumMetal,-196.8471,-84.4828,-0.000000e0,-4.8751e-5,-1.5541e-5
2880,SEI,-200.0016,-81.6051,0.000000e0,-9.7897e-5,-4.7556e-5
51,LithiumMetal,-193.8756,-83.8475,-0.000000e0,-5.3826e-5,1.3201e-5
3269,DMC,-192.0759,-87.4405,-0.000000e0,-2.0974e-4,-6.4576e-5
116,LithiumMetal,-188.2037,-86.3603,-1.000000e0,-1.9852e-4,-7.0570e-5
2553,SEI,-189.8550,-82.4227,0.000000e0,-4.7225e-5,-1.1000e-5
3119,DMC,-194.9716,-79.9757,-0.000000e0,3.4132e-6,2.6976e-5
2814,SEI,-198.7350,-76.2531,0.000000e0,1.8701e-5,-6.7946e-5
82,LithiumMetal,-189.9339,-78.1545,-0.000000e0,-6.7672e-5,-7.4127e-6
132,LithiumMetal,-184.7359,-86.2402,-1.000000e0,-9.6392e-5,7.9098e-6
131,LithiumMetal,-185.6652,-81.5992,-1.000000e0,-4.1191e-5,-8.1255e-6
2613,SEI,-181.5766,-83.0498,0.000000e0,0.0000e0,0.0000e0
68,LithiumMetal,-180.3354,-87.1373,-1.000000e0,-9.0599e-5,-4.0635e-6
115,LithiumMetal,-176.7154,-83.8485,-1.000000e0,-9.7523e-5,3.6975e-5
148,LithiumMetal,-184.4975,-78.7924,-1.000000e0,-1.2939e-4,3.5106e-5
3443,DMC,-187.0217,-75.3858,-0.000000e0,-5.8803e-5,-2.6377e-5
147,LithiumMetal,-183.0254,-75.8038,-1.000000e0,-4.6711e-5,3.0843e-5
117,LithiumMetal,-179.1765,-79.5182,-0.000000e0,0.0000e0,0.0000e0
20,LithiumMetal,-172.0026,-100.0000,-1.000000e0,-4.3472e-5,2.4432e-4
54,LithiumMetal,-172.3969,-96.8895,-1.000000e0,-3.7782e-5,-2.6648e-5
21,LithiumMetal,-168.9440,-100.0000,-1.000000e0,-3.0207e-5,2.3211e-4
5,LithiumMetal,-165.8911,-100.0000,-1.000000e0,-1.2540e-4,2.4378e-4
23,LithiumMetal,-167.0094,-96.9794,-1.000000e0,-1.3371e-5,-5.0168e-5
6,LithiumMetal,-162.8511,-100.0000,-1.000000e0,-5.1649e-5,2.3438e-4
38,LithiumMetal,-173.6273,-91.1701,-1.000000e0,-3.2019e-5,-6.1395e-5
69,LithiumMetal,-169.3398,-93.6349,-1.000000e0,-2.9773e-5,2.1795e-5
55,LithiumMetal,-164.9771,-93.6128,-1.000000e0,-1.6177e-5,2.6937e-5
70,LithiumMetal,-166.9895,-87.9395,-0.000000e0,0.0000e0,0.0000e0
24,LithiumMetal,-157.2115,-98.4245,-1.000000e0,3.5538e-6,1.1439e-4
39,LithiumMetal,-161.3262,-96.3130,-1.000000e0,-3.3463e-6,-4.0456e-5
56,LithiumMetal,-157.3567,-94.1204,-1.000000e0,-4.1907e-6,3.0168e-5
2083,FoilMetal,-151.9800,-98.4800,-1.000000e0,1.2630e-8,-1.7986e-8
40,LithiumMetal,-154.8326,-96.4920,-1.000000e0,3.0614e-5,-4.9744e-5
2085,FoilMetal,-151.9800,-95.4400,-1.000000e0,5.9680e-9,-5.7839e-10
71,LithiumMetal,-161.1479,-91.1193,-1.000000e0,-5.2367e-6,3.6673e-5
72,LithiumMetal,-156.1507,-90.6519,-0.000000e0,3.2776e-7,4.5567e-7
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,1.7163e-11,4.4805e-25
2089,FoilMetal,-151.9800,-89.3600,-1.000000e0,-2.2603e-9,-6.6522e-9
86,LithiumMetal,-172.0168,-86.7133,-1.000000e0,4.1674e-5,-3.9698e-6
85,LithiumMetal,-173.4418,-82.6524,-1.000000e0,-3.9014e-7,4.9292e-5
87,LithiumMetal,-162.6057,-85.7159,-1.000000e0,-1.1707e-5,-1.4193e-6
102,LithiumMetal,-168.2816,-84.0823,-0.000000e0,0.0000e0,0.0000e0
133,LithiumMetal,-173.2024,-78.1754,-0.000000e0,-4.0768e-8,1.9719e-7
101,LithiumMetal,-173.8278,-75.1471,-0.000000e0,-6.2379e-8,-1.1332e-7
149,LithiumMetal,-169.5935,-76.2016,-0.000000e0,0.0000e0,-0.0000e0
118,LithiumMetal,-165.0245,-80.5094,-1.000000e0,-3.1868e-5,-6.4712e-5
134,LithiumMetal,-165.0989,-76.7879,-1.000000e0,-4.8454e-5,2.7212e-6
103,LithiumMetal,-160.9044,-83.1006,-0.000000e0,-6.8668e-8,6.2716e-8
88,LithiumMetal,-156.1925,-87.0063,-1.000000e0,-4.3597e-5,1.2329e-5
2091,FoilMetal,-151.9800,-86.3200,-0.000000e0,-3.3516e-9,3.9386e-9
104,LithiumMetal,-156.1529,-83.4348,-0.000000e0,-1.3533e-7,-4.6400e-7
2093,FoilMetal,-151.9800,-83.2800,-1.000000e0,1.7163e-11,-2.1431e-18
119,LithiumMetal,-160.4316,-80.0974,-1.000000e0,-2.6638e-8,-1.2156e-7
135,LithiumMetal,-160.2894,-76.6699,-0.000000e0,-9.9861e-6,-4.0629e-5
120,LithiumMetal,-155.9902,-79.9179,-0.000000e0,2.7221e-8,2.4988e-7
2095,FoilMetal,-151.9800,-80.2400,-0.000000e0,1.7164e-11,-2.1679e-21
136,LithiumMetal,-155.9561,-76.4209,-1.000000e0,2.7422e-5,-7.3155e-5
2097,FoilMetal,-151.9800,-77.2000,-0.000000e0,1.7163e-11,0.0000e0
146,LithiumMetal,-195.0673,-74.0667,-0.000000e0,-8.6506e-6,-2.6332e-6
2499,ElectrolyteAnion,-200.0004,-71.6747,-1.000000e0,-8.9880e-5,-5.1979e-5
98,LithiumMetal,-196.5390,-71.0347,-0.000000e0,1.0118e-4,-1.4268e-5
3011,SEI,-191.2139,-72.2268,0.000000e0,-2.1843e-5,2.6623e-5
3248,DMC,-199.9753,-67.1748,-0.000000e0,5.8638e-4,-5.0081e-5
2734,SEI,-194.0883,-67.5378,0.000000e0,2.4614e-5,5.5153e-5
66,LithiumMetal,-194.3938,-63.2793,-0.000000e0,-1.2153e-5,5.1994e-5
114,LithiumMetal,-189.6425,-67.4540,-0.000000e0,-7.5408e-6,-2.9019e-5
3025,SEI,-188.5687,-63.3221,0.000000e0,-4.7201e-5,-3.4999e-5
2685,SEI,-184.8537,-70.6047,0.000000e0,-1.2219e-4,9.3264e-6
179,LithiumMetal,-180.0704,-74.7694,-1.000000e0,-6.6783e-5,8.0271e-7
164,LithiumMetal,-176.3826,-73.0684,-1.000000e0,-5.0972e-5,-3.9908e-5
3303,DMC,-177.0777,-69.1089,-0.000000e0,-7.9012e-5,-2.9969e-5
3530,DMC,-183.7104,-65.2998,-0.000000e0,-4.9205e-5,-1.2903e-5
83,LithiumMetal,-181.1824,-68.4243,-1.000000e0,-9.4384e-5,-3.5486e-5
194,LithiumMetal,-179.6930,-65.2356,-1.000000e0,-7.8652e-5,6.7564e-5
211,LithiumMetal,-175.4295,-65.2497,-1.000000e0,-1.1926e-4,-1.6701e-5
3137,DMC,-197.7783,-61.1098,-0.000000e0,-1.8575e-4,-2.2121e-4
3074,SEI,-200.0000,-56.3443,0.000000e0,1.7370e-9,-4.6040e-5
130,LithiumIon,-195.1340,-57.5329,1.000000e0,3.7531e-3,1.2831e-3
2561,SEI,-192.4800,-59.4622,0.000000e0,3.2402e-5,2.4106e-5
3430,DMC,-194.5945,-54.5235,-0.000000e0,9.9822e-5,1.1201e-4
3175,DMC,-200.0014,-51.0943,-0.000000e0,-2.7076e-5,-4.5933e-5
227,LithiumMetal,-195.9962,-50.7587,-0.000000e0,-3.8609e-5,7.9862e-5
99,LithiumMetal,-190.6140,-55.0740,-0.000000e0,6.6655e-5,-1.5736e-5
162,LithiumMetal,-189.7054,-52.1730,-0.000000e0,3.0810e-6,4.5730e-6
3058,SEI,-187.2302,-57.8256,0.000000e0,3.5675e-6,3.2463e-6
178,LithiumMetal,-183.1477,-59.0760,-0.000000e0,-6.7842e-6,-4.5274e-5
3563,DMC,-179.7446,-61.2159,-0.000000e0,6.1591e-5,7.3474e-5
323,LithiumMetal,-176.9677,-57.3288,-1.000000e0,-1.0447e-4,-2.4301e-5
226,LithiumMetal,-185.7450,-53.8224,-0.000000e0,-5.9944e-6,9.7914e-6
259,LithiumMetal,-182.9818,-52.5552,-0.000000e0,-3.4590e-5,7.2985e-5
3621,DMC,-180.7155,-55.8755,-0.000000e0,-9.9122e-5,2.4552e-5
244,LithiumMetal,-179.2675,-50.4286,-0.000000e0,0.0000e0,0.0000e0
195,LithiumMetal,-173.1893,-70.1293,-1.000000e0,-6.7728e-5,-1.8947e-5
165,LithiumMetal,-169.3582,-71.2773,-1.000000e0,-1.5238e-5,-6.8832e-5
150,LithiumMetal,-164.9647,-73.4628,-1.000000e0,1.7458e-8,-1.4837e-8
166,LithiumMetal,-164.2834,-70.1505,-0.000000e0,-1.3357e-5,-1.8619e-5
180,LithiumMetal,-172.0766,-67.2729,-0.000000e0,-5.7093e-8,-1.1608e-7
196,LithiumMetal,-172.6825,-63.6118,-1.000000e0,-1.4868e-5,2.0171e-6
181,LithiumMetal,-168.4194,-67.1176,-1.000000e0,-4.0209e-6,3.6724e-5
182,LithiumMetal,-163.9149,-66.7174,-0.000000e0,-3.6299e-9,2.6905e-9
197,LithiumMetal,-168.2878,-63.5006,-0.000000e0,-1.7039e-8,1.5292e-7
198,LithiumMetal,-163.6824,-63.2849,-0.000000e0,-2.6154e-9,1.9460e-8
151,LithiumMetal,-160.0614,-73.2457,-1.000000e0,-8.0820e-10,7.8919e-9
167,LithiumMetal,-159.8839,-69.8846,-0.000000e0,1.2172e-5,-2.6168e-5
152,LithiumMetal,-155.8535,-72.9945,-0.000000e0,2.4048e-5,4.0043e-5
2099,FoilMetal,-151.9800,-74.1600,-0.000000e0,1.7164e-11,0.0000e0
168,LithiumMetal,-155.7798,-69.5860,-1.000000e0,-2.3585e-7,8.6464e-8
2101,FoilMetal,-151.9800,-71.1200,-0.000000e0,1.7163e-11,-1.5462e-35
183,LithiumMetal,-159.5645,-66.5314,-1.000000e0,1.9713e-5,6.8564e-5
199,LithiumMetal,-159.4509,-63.1356,-0.000000e0,5.1583e-8,2.0482e-8
184,LithiumMetal,-155.6366,-66.2134,-0.000000e0,-2.6527e-7,7.0338e-7
2103,FoilMetal,-151.9800,-68.0800,-0.000000e0,1.7163e-11,0.0000e0
200,LithiumMetal,-155.6084,-62.9476,-0.000000e0,7.5176e-9,-1.6963e-8
2105,FoilMetal,-151.9800,-65.0400,-0.000000e0,1.3753e-11,-1.0944e-12
212,LithiumMetal,-172.3605,-60.2035,-1.000000e0,-3.1119e-5,3.5629e-5
213,LithiumMetal,-168.4848,-60.4645,-0.000000e0,-2.3561e-8,-2.3832e-9
214,LithiumMetal,-163.5668,-59.9365,-1.000000e0,-2.6024e-5,-2.1704e-5
229,LithiumMetal,-168.4114,-57.4107,-0.000000e0,-2.1811e-8,-8.6234e-9
230,LithiumMetal,-163.4076,-56.7246,-1.000000e0,-3.2118e-9,5.7043e-9
228,LithiumMetal,-173.9144,-55.7465,-1.000000e0,-5.9182e-5,4.2793e-5
260,LithiumMetal,-173.2706,-50.0940,-1.000000e0,-6.8876e-5,-1.4659e-5
245,LithiumMetal,-168.6542,-54.3478,-1.000000e0,-3.4187e-5,5.5327e-6
246,LithiumMetal,-163.3185,-53.5272,-1.000000e0,-2.0528e-5,2.2636e-5
261,LithiumMetal,-168.5642,-50.4485,-0.000000e0,1.1373e-8,1.7086e-7
262,LithiumMetal,-163.3345,-50.3347,-0.000000e0,6.9865e-9,-6.9013e-9
215,LithiumMetal,-159.2178,-59.8247,-0.000000e0,5.1786e-8,1.6333e-8
231,LithiumMetal,-159.2055,-56.5518,-0.000000e0,2.3079e-6,6.7040e-6
216,LithiumMetal,-155.5221,-59.5974,-0.000000e0,1.2991e-5,-4.2578e-5
2107,FoilMetal,-151.9800,-62.0000,-1.000000e0,1.3085e-11,-1.0651e-12
232,LithiumMetal,-155.5026,-56.4393,-0.000000e0,2.0824e-8,-1.2419e-8
2109,FoilMetal,-151.9800,-58.9600,-0.000000e0,1.1485e-11,-2.7949e-10
247,LithiumMetal,-159.0813,-53.4227,-0.000000e0,2.9964e-7,-1.8418e-7
263,LithiumMetal,-159.0249,-50.2010,-1.000000e0,7.1455e-8,1.7072e-8
248,LithiumMetal,-155.4169,-53.2176,-0.000000e0,2.5819e-8,2.0033e-8
2111,FoilMetal,-151.9800,-55.9200,-0.000000e0,1.6448e-9,-1.0022e-10
264,LithiumMetal,-155.3859,-50.0337,-0.000000e0,-5.8643e-5,2.4007e-6
2113,FoilMetal,-151.9800,-52.8800,-0.000000e0,9.7694e-12,-6.9159e-13
2084,FoilMetal,-148.9400,-98.4800,-1.000000e0,1.9251e-8,-1.9212e-8
43,LithiumMetal,-144.1642,-99.9279,-0.000000e0,2.2477e-7,-5.3288e-9
2086,FoilMetal,-148.9400,-95.4400,-1.000000e0,1.9275e-8,-7.1124e-9
60,LithiumMetal,-141.1251,-100.0000,-0.000000e0,-2.2477e-7,5.3288e-9
75,LithiumMetal,-143.3920,-95.1197,-0.000000e0,1.0714e-7,-1.5204e-10
59,LithiumMetal,-139.9848,-95.9508,-0.000000e0,-1.5796e-7,2.0240e-7
2088,FoilMetal,-148.9400,-92.4000,-1.000000e0,1.4524e-8,-4.8545e-9
2090,FoilMetal,-148.9400,-89.3600,-1.000000e0,1.5764e-8,-5.4908e-9
107,LithiumMetal,-141.1461,-93.0709,-0.000000e0,2.0235e-7,8.5867e-8
123,LithiumMetal,-138.6040,-91.3931,-0.000000e0,-2.6824e-7,-8.4899e-8
91,LithiumMetal,-141.7804,-89.9592,-0.000000e0,1.1671e-7,-2.0322e-7
76,LithiumMetal,-135.0985,-99.4692,-0.000000e0,1.8540e-8,1.8889e-7
92,LithiumMetal,-134.7937,-96.3636,-0.000000e0,-1.8540e-8,-1.8889e-7
192,LithiumMetal,-131.0326,-99.9973,-0.000000e0,1.7145e-7,1.4544e-7
108,LithiumMetal,-128.7143,-98.0308,-0.000000e0,-6.3570e-8,1.6397e-8
110,LithiumMetal,-125.9940,-100.0000,-0.000000e0,-2.1032e-8,2.8059e-7
125,LithiumMetal,-129.1763,-95.0189,-0.000000e0,3.3572e-8,-2.1890e-7
140,LithiumMetal,-131.0164,-91.4270,-0.000000e0,0.0000e0,0.0000e0
2770,SEI,-126.3248,-91.6467,0.000000e0,0.0000e0,0.0000e0
139,LithiumMetal,-129.1404,-87.5236,-0.000000e0,0.0000e0,-0.0000e0
2092,FoilMetal,-148.9400,-86.3200,-1.000000e0,1.3810e-8,-1.3958e-9
2094,FoilMetal,-148.9400,-83.2800,-1.000000e0,6.2039e-9,-8.0358e-10
171,LithiumMetal,-144.3284,-81.2976,-1.000000e0,1.5315e-4,-4.1467e-5
156,LithiumMetal,-140.7771,-83.9874,-1.000000e0,1.8529e-4,-9.1737e-5
2096,FoilMetal,-148.9400,-80.2400,-1.000000e0,3.6204e-9,-8.0373e-10
2098,FoilMetal,-148.9400,-77.2000,-1.000000e0,4.9617e-9,-3.6668e-10
187,LithiumMetal,-141.8185,-77.4922,-1.000000e0,1.6197e-4,-5.1906e-6
2710,SEI,-126.8495,-83.9201,0.000000e0,-0.0000e0,0.0000e0
155,LithiumMetal,-133.1157,-80.0876,-0.000000e0,0.0000e0,0.0000e0
172,LithiumMetal,-134.2504,-75.7305,-0.000000e0,0.0000e0,0.0000e0
173,LithiumMetal,-128.7886,-78.5017,-0.000000e0,3.3773e-8,-1.0547e-7
189,LithiumMetal,-129.7157,-75.6065,-0.000000e0,-3.3773e-8,1.0547e-7
93,LithiumMetal,-124.9980,-97.1270,-0.000000e0,5.4193e-10,-2.2131e-7
207,LithiumMetal,-119.1783,-99.6643,-0.000000e0,-6.5124e-5,5.5148e-6
109,LithiumMetal,-121.6582,-97.0658,-0.000000e0,-6.9844e-8,-5.5774e-8
2731,SEI,-117.9151,-94.2303,0.000000e0,1.8380e-8,-4.6453e-8
124,LithiumMetal,-122.0616,-91.8868,-0.000000e0,1.8755e-7,1.1848e-7
143,LithiumMetal,-119.4861,-90.2598,-0.000000e0,-1.9177e-7,-1.0780e-7
141,LithiumMetal,-113.2590,-90.9040,-0.000000e0,-1.6349e-5,5.7156e-5
77,LithiumIon,-112.4842,-98.4643,1.000000e0,-2.8096e-3,1.3479e-3
27,LithiumMetal,-107.0750,-99.7490,-0.000000e0,4.8767e-8,-7.2656e-10
3105,SEI,-112.4803,-95.1007,0.000000e0,2.1823e-5,5.2998e-5
127,LithiumMetal,-108.2468,-95.6560,-0.000000e0,7.4060e-6,-9.6443e-7
175,LithiumMetal,-103.2568,-99.8059,-0.000000e0,-4.8767e-8,7.2656e-10
97,LithiumMetal,-104.3422,-95.5314,-0.000000e0,-4.1681e-8,-1.3294e-9
2759,SEI,-100.0891,-94.1331,0.000000e0,-0.0000e0,0.0000e0
2698,SEI,-108.1963,-91.2729,0.000000e0,0.0000e0,0.0000e0
2741,SEI,-122.3424,-87.0722,0.000000e0,-0.0000e0,0.0000e0
2853,SEI,-117.1664,-85.2123,0.000000e0,0.0000e0,0.0000e0
157,LithiumMetal,-124.7726,-80.1893,-0.000000e0,0.0000e0,0.0000e0
206,LithiumMetal,-119.7381,-79.5597,-0.000000e0,1.6462e-7,-8.1336e-8
2918,SEI,-124.2742,-75.8156,0.000000e0,-0.0000e0,0.0000e0
3568,DMC,-118.8239,-75.6451,-0.000000e0,1.8322e-7,2.5515e-7
112,LithiumMetal,-116.9262,-80.9491,-0.000000e0,-7.3586e-8,2.8692e-7
190,LithiumMetal,-115.6953,-78.1694,-0.000000e0,-9.1032e-8,-2.0558e-7
2719,SEI,-111.9152,-86.8511,0.000000e0,1.6021e-5,4.8327e-5
160,LithiumMetal,-101.0189,-86.7559,-0.000000e0,0.0000e0,-0.0000e0
142,LithiumMetal,-105.8344,-83.4090,-0.000000e0,-5.6037e-7,-1.7608e-6
2830,SEI,-100.0825,-82.5620,0.000000e0,-6.7131e-5,-4.8376e-5
79,LithiumMetal,-111.7649,-80.5006,-0.000000e0,0.0000e0,-0.0000e0
2804,SEI,-111.8498,-76.2315,0.000000e0,-0.0000e0,0.0000e0
191,LithiumMetal,-107.5085,-75.2083,-0.000000e0,1.8712e-7,8.4970e-8
3068,SEI,-104.5395,-79.3402,0.000000e0,-3.1576e-5,4.2012e-6
28,LithiumMetal,-104.2162,-75.0826,-0.000000e0,1.9048e-6,3.1779e-6
2100,FoilMetal,-148.9400,-74.1600,-1.000000e0,6.0708e-9,-4.5871e-11
2102,FoilMetal,-148.9400,-71.1200,-1.000000e0,5.7933e-9,1.3420e-10
2104,FoilMetal,-148.9400,-68.0800,-1.000000e0,4.1481e-9,3.5855e-10
2106,FoilMetal,-148.9400,-65.0400,-1.000000e0,2.6367e-9,1.1997e-9
203,LithiumMetal,-139.7824,-67.3237,-0.000000e0,0.0000e0,0.0000e0
188,LithiumMetal,-134.6723,-69.8117,-0.000000e0,0.0000e0,-0.0000e0
204,LithiumMetal,-135.6813,-64.7568,-1.000000e0,1.0628e-4,-1.2101e-4
3427,DMC,-127.0823,-68.2858,-0.000000e0,1.1511e-3,-8.4215e-4
205,LithiumMetal,-128.5565,-64.3549,-1.000000e0,7.7132e-5,-5.4781e-5
2108,FoilMetal,-148.9400,-62.0000,-0.000000e0,-1.7118e-11,2.9752e-9
219,LithiumMetal,-144.7177,-60.3242,-1.000000e0,-5.3884e-6,-1.0709e-4
2110,FoilMetal,-148.9400,-58.9600,-0.000000e0,-2.0769e-11,-9.1268e-13
235,LithiumMetal,-144.0310,-57.1599,-1.000000e0,-4.7364e-5,-3.6737e-5
220,LithiumMetal,-138.2408,-60.9727,-1.000000e0,6.6850e-5,-1.4312e-4
236,LithiumMetal,-138.7068,-57.2783,-1.000000e0,4.3930e-5,-8.8134e-5
2112,FoilMetal,-148.9400,-55.9200,-1.000000e0,-3.3108e-10,-3.6049e-11
2114,FoilMetal,-148.9400,-52.8800,-0.000000e0,-1.7164e-11,-7.5627e-12
267,LithiumMetal,-144.1208,-50.1322,-0.000000e0,6.5252e-9,1.9444e-7
251,LithiumMetal,-142.6379,-54.4236,-1.000000e0,-3.9050e-5,4.4395e-5
252,LithiumMetal,-138.2444,-53.9343,-1.000000e0,6.6070e-5,-1.5837e-5
268,LithiumMetal,-139.2464,-50.6652,-1.000000e0,-1.2965e-5,3.0746e-5
221,LithiumMetal,-132.7611,-62.0023,-0.000000e0,0.0000e0,0.0000e0
237,LithiumMetal,-134.9533,-57.6545,-1.000000e0,1.9158e-4,-9.1110e-5
254,LithiumMetal,-128.3742,-61.2913,-0.000000e0,-1.2597e-8,-2.1120e-7
3424,DMC,-130.4957,-56.8778,-0.000000e0,-1.0139e-3,-9.5660e-4
238,LithiumMetal,-125.6923,-57.0742,-0.000000e0,0.0000e0,0.0000e0
253,LithiumMetal,-132.8464,-53.6168,-1.000000e0,2.1050e-4,-6.1434e-5
269,LithiumMetal,-134.6855,-50.7984,-1.000000e0,1.3097e-4,2.4845e-5
174,LithiumMetal,-121.4567,-72.6072,-0.000000e0,-1.9428e-7,1.1294e-7
222,LithiumMetal,-124.0850,-71.0792,-0.000000e0,-4.7820e-9,-2.7402e-7
158,LithiumMetal,-117.1166,-71.9974,-0.000000e0,3.9528e-8,2.3018e-8
287,LithiumMetal,-113.7858,-70.0578,-0.000000e0,-9.9185e-7,1.2860e-7
3104,SEI,-120.7657,-68.3932,0.000000e0,-4.0712e-7,2.3709e-7
223,LithiumMetal,-124.6463,-65.0408,-1.000000e0,1.4581e-4,-5.5337e-5
3531,DMC,-115.8323,-66.5977,-0.000000e0,-5.4761e-7,4.9000e-7
2622,SEI,-109.6643,-71.1740,0.000000e0,-6.2660e-7,2.5795e-7
2394,LithiumMetal,-105.5612,-72.3563,-0.000000e0,-5.4417e-7,2.1766e-6
176,LithiumMetal,-101.1029,-73.7998,-0.000000e0,-1.0602e-7,-4.3682e-8
2976,SEI,-103.6259,-68.5501,0.000000e0,7.6812e-7,1.6796e-6
3271,DMC,-104.5888,-63.3892,-0.000000e0,-3.3514e-5,-4.5007e-6
3440,DMC,-123.4944,-61.1229,-0.000000e0,2.0651e-5,2.2374e-4
2799,SEI,-118.2650,-61.5871,0.000000e0,9.6734e-7,1.1534e-8
2655,SEI,-112.8118,-62.3036,0.000000e0,1.3918e-6,-8.6191e-7
2824,SEI,-120.1675,-50.6987,0.000000e0,-0.0000e0,0.0000e0
270,LithiumMetal,-118.5508,-54.6508,-0.000000e0,0.0000e0,-0.0000e0
1382,LithiumMetal,-109.7758,-59.3011,-0.000000e0,3.1929e-7,2.5388e-7
193,LithiumMetal,-101.0459,-60.4659,-0.000000e0,0.0000e0,0.0000e0
2730,SEI,-107.9722,-55.4307,0.000000e0,2.3249e-7,4.9892e-7
3187,DMC,-111.8057,-50.7872,-0.000000e0,-2.5450e-5,5.0429e-5
2736,SEI,-101.4653,-54.7546,0.000000e0,0.0000e0,0.0000e0
255,LithiumMetal,-100.8323,-50.5318,-0.000000e0,0.0000e0,0.0000e0
3543,DMC,-200.0009,-46.0944,-0.000000e0,-2.3767e-5,-4.0744e-5
2975,SEI,-194.7830,-46.6661,0.000000e0,-1.0669e-5,5.9955e-5
371,LithiumMetal,-191.3837,-49.6382,-0.000000e0,-1.0227e-6,1.7456e-6
243,LithiumMetal,-188.4693,-47.9203,-0.000000e0,-6.4209e-6,-2.2196e-5
339,LithiumMetal,-191.3353,-44.1488,-0.000000e0,2.3457e-5,1.7084e-5
275,LithiumMetal,-187.6341,-44.9973,-0.000000e0,5.8050e-6,-1.9992e-5
242,LithiumMetal,-199.9442,-42.0748,-1.000000e0,-1.1939e-4,-3.8523e-5
290,LithiumMetal,-197.1766,-38.7755,-1.000000e0,-1.0943e-4,-6.1402e-6
2813,SEI,-187.5869,-40.7277,0.000000e0,-1.0831e-4,-5.9396e-6
3638,DMC,-184.4915,-48.5617,-0.000000e0,3.0677e-8,-1.6709e-7
292,LithiumMetal,-176.4632,-46.7994,-1.000000e0,-1.3270e-4,-2.7065e-5
276,LithiumMetal,-183.6171,-43.2061,-0.000000e0,0.0000e0,0.0000e0
308,LithiumMetal,-176.4677,-41.9246,-1.000000e0,-1.0816e-4,-5.6739e-5
340,LithiumMetal,-176.2045,-37.6915,-1.000000e0,-7.6134e-5,4.8409e-6
2916,SEI,-200.0000,-34.8809,0.000000e0,0.0000e0,0.0000e0
274,LithiumMetal,-193.9552,-35.9621,-1.000000e0,-1.1949e-4,3.7627e-5
210,LithiumMetal,-189.9968,-36.7802,-1.000000e0,-9.1274e-5,-2.4505e-5
3642,DMC,-187.5622,-33.5649,-0.000000e0,-1.3550e-5,-1.0501e-5
2718,SEI,-190.9500,-29.5543,0.000000e0,-6.1339e-6,7.2615e-6
355,LithiumMetal,-185.4346,-37.0398,-1.000000e0,-7.4985e-5,-2.2562e-5
356,LithiumMetal,-183.3156,-33.8741,-1.000000e0,-6.6059e-5,3.8537e-5
324,LithiumMetal,-179.3255,-36.0652,-1.000000e0,-9.7503e-5,2.2651e-5
466,LithiumMetal,-185.6014,-30.0556,-1.000000e0,-7.5351e-5,2.7240e-5
