# step=11658 time_fs=108290.00 v_cell=-1.421226e-1 applied_i=-8.273880e-3
id,species,x,y,charge,vx,vy
3499,DMC,-191.3050,-98.3647,-0.000000e0,-7.0650e-4,1.4670e-4
3135,DMC,-199.3237,-89.0763,-0.000000e0,1.5016e-3,2.5442e-3
3011,EC,-190.9714,-88.1016,-0.000000e0,2.9731e-3,-4.1120e-4
2553,SEI,-179.5827,-97.9969,0.000000e0,0.0000e0,0.0000e0
3275,DMC,-183.0783,-93.2700,-0.000000e0,-3.1686e-5,8.8272e-5
2685,SEI,-177.7338,-92.8170,0.000000e0,0.0000e0,0.0000e0
2814,EC,-192.6763,-83.4004,-0.000000e0,3.6811e-3,5.3677e-4
2,LithiumIon,-189.6318,-83.1007,1.000000e0,2.7428e-3,-1.2712e-4
2888,EC,-188.8754,-80.1008,-0.000000e0,1.2143e-3,-4.3973e-4
2889,EC,-187.1579,-84.8497,-0.000000e0,1.7655e-3,7.9555e-4
3119,DMC,-182.1115,-85.1163,-0.000000e0,1.0267e-4,-1.5713e-4
2613,SEI,-177.6537,-82.3433,0.000000e0,5.6348e-7,9.8353e-6
2499,ElectrolyteAnion,-184.4907,-81.2253,-1.000000e0,1.8366e-3,8.6129e-4
3443,DMC,-183.8839,-76.7611,-0.000000e0,2.1841e-3,8.5807e-4
3530,DMC,-177.3125,-75.5086,-0.000000e0,3.8387e-5,-1.1970e-4
3050,SEI,-174.4604,-100.0000,0.000000e0,0.0000e0,0.0000e0
3,LithiumMetal,-170.4125,-98.6402,-1.000000e0,-8.0597e-7,-2.8087e-6
18,LithiumMetal,-173.7455,-95.5918,-0.000000e0,1.4014e-7,1.6494e-7
19,LithiumMetal,-170.4311,-95.4842,-0.000000e0,8.7588e-8,2.4917e-8
4,LithiumMetal,-167.3594,-98.6022,-0.000000e0,3.4990e-9,1.8314e-7
5,LithiumMetal,-164.3145,-98.5789,-0.000000e0,1.0744e-9,1.8671e-7
20,LithiumMetal,-167.3663,-95.4672,-0.000000e0,6.7378e-9,2.7799e-8
21,LithiumMetal,-164.3178,-95.4508,-0.000000e0,2.5366e-9,3.1885e-8
34,LithiumMetal,-173.4838,-92.4039,-0.000000e0,1.9624e-7,6.2572e-8
35,LithiumMetal,-170.4288,-92.3984,-0.000000e0,2.3598e-9,2.0250e-8
50,LithiumMetal,-173.5981,-89.3625,-0.000000e0,1.9076e-7,1.4530e-9
51,LithiumMetal,-170.4498,-89.3585,-0.000000e0,4.1809e-8,-7.9974e-10
36,LithiumMetal,-167.3826,-92.3993,-0.000000e0,2.2733e-9,1.2618e-8
37,LithiumMetal,-164.3411,-92.4002,-0.000000e0,6.0293e-10,4.8149e-9
52,LithiumMetal,-167.3977,-89.3588,-0.000000e0,6.0531e-9,2.0978e-10
53,LithiumMetal,-164.3565,-89.3598,-0.000000e0,1.5404e-9,1.3599e-10
6,LithiumMetal,-161.2722,-98.5569,-0.000000e0,-2.7017e-11,1.9379e-7
7,LithiumMetal,-158.2306,-98.5566,-0.000000e0,3.3977e-10,1.9521e-7
22,LithiumMetal,-161.2777,-95.4502,-0.000000e0,-1.4889e-9,2.4909e-8
23,LithiumMetal,-158.2372,-95.4493,-0.000000e0,-1.6948e-9,2.5604e-8
8,LithiumMetal,-155.1905,-98.5554,-0.000000e0,-6.7982e-8,1.9923e-7
2083,FoilMetal,-151.9800,-98.4800,-0.000000e0,5.1668e-12,1.6882e-11
24,LithiumMetal,-155.1956,-95.4493,-0.000000e0,-6.9674e-8,2.5382e-8
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,5.2674e-12,-3.4270e-14
38,LithiumMetal,-161.2998,-92.4007,-0.000000e0,9.9884e-10,4.5107e-9
39,LithiumMetal,-158.2598,-92.4009,-0.000000e0,3.2363e-10,4.0093e-9
54,LithiumMetal,-161.3163,-89.3606,-0.000000e0,9.0222e-10,-1.2917e-10
55,LithiumMetal,-158.2755,-89.3608,-0.000000e0,1.0035e-9,-6.3090e-11
40,LithiumMetal,-155.2195,-92.4004,-0.000000e0,-7.5664e-8,3.9416e-9
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,5.8334e-12,-1.2548e-15
56,LithiumMetal,-155.2346,-89.3597,-0.000000e0,-7.9551e-8,2.2381e-10
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,6.1796e-12,8.7507e-16
66,LithiumMetal,-173.5538,-86.3216,-0.000000e0,1.9699e-7,-2.0035e-10
67,LithiumMetal,-170.4472,-86.3173,-0.000000e0,2.8240e-8,1.2594e-10
82,LithiumMetal,-173.4877,-83.2801,-0.000000e0,2.7763e-6,-5.7829e-7
83,LithiumMetal,-170.4137,-83.2774,-0.000000e0,9.2069e-9,-2.8003e-10
68,LithiumMetal,-167.3998,-86.3188,-0.000000e0,4.5372e-9,4.4353e-11
69,LithiumMetal,-164.3572,-86.3195,-0.000000e0,3.2385e-9,1.0879e-10
84,LithiumMetal,-167.3710,-83.2789,-0.000000e0,-3.4150e-9,4.0527e-11
85,LithiumMetal,-164.3300,-83.2797,-0.000000e0,-3.8262e-9,-2.1083e-10
98,LithiumMetal,-173.5493,-80.2405,-0.000000e0,2.0437e-7,3.2910e-10
99,LithiumMetal,-170.4491,-80.2376,-0.000000e0,2.6533e-8,-2.6479e-10
114,LithiumMetal,-173.5253,-77.2005,-0.000000e0,1.9721e-7,2.1215e-10
115,LithiumMetal,-170.4268,-77.1976,-0.000000e0,2.3971e-8,-2.8277e-10
100,LithiumMetal,-167.3995,-80.2390,-0.000000e0,7.6382e-9,1.0963e-10
101,LithiumMetal,-164.3595,-80.2393,-0.000000e0,2.9441e-9,1.8813e-10
116,LithiumMetal,-167.3855,-77.1990,-0.000000e0,1.5876e-11,1.3367e-11
117,LithiumMetal,-164.3453,-77.1993,-0.000000e0,-7.0294e-10,-2.8548e-11
70,LithiumMetal,-161.3171,-86.3201,-0.000000e0,2.0157e-9,2.3717e-10
71,LithiumMetal,-158.2771,-86.3203,-0.000000e0,2.0933e-9,2.7918e-10
86,LithiumMetal,-161.2898,-83.2802,-0.000000e0,-4.9075e-9,-9.6117e-11
87,LithiumMetal,-158.2480,-83.2805,-0.000000e0,-5.8577e-8,-4.0553e-10
72,LithiumMetal,-155.2365,-86.3197,-0.000000e0,-7.8963e-8,-1.7846e-10
2091,FoilMetal,-151.9800,-86.3200,-0.000000e0,6.2205e-12,9.7738e-16
88,LithiumMetal,-155.2080,-83.2796,-0.000000e0,-2.2282e-8,3.2267e-11
2093,FoilMetal,-151.9800,-83.2800,-0.000000e0,5.5641e-12,1.2804e-15
102,LithiumMetal,-161.3188,-80.2401,-0.000000e0,3.4813e-9,4.1314e-11
103,LithiumMetal,-158.2788,-80.2406,-0.000000e0,3.3691e-9,5.3618e-10
118,LithiumMetal,-161.3046,-77.2001,-0.000000e0,-3.3138e-10,1.2731e-10
119,LithiumMetal,-158.2642,-77.2006,-0.000000e0,-5.8577e-8,1.3375e-10
104,LithiumMetal,-155.2388,-80.2398,-0.000000e0,-7.8805e-8,-9.2257e-11
2095,FoilMetal,-151.9800,-80.2400,-0.000000e0,6.2722e-12,8.8538e-16
120,LithiumMetal,-155.2242,-77.1997,-0.000000e0,-2.0148e-8,-7.5593e-11
2097,FoilMetal,-151.9800,-77.2000,-0.000000e0,5.9426e-12,1.0563e-15
3303,DMC,-177.4597,-70.2732,-0.000000e0,-4.0599e-7,-2.2243e-7
2561,SEI,-177.7805,-65.0328,0.000000e0,0.0000e0,0.0000e0
3638,DMC,-177.4760,-59.7520,-0.000000e0,-9.8732e-6,2.8442e-5
3137,DMC,-187.3583,-54.2286,-0.000000e0,-2.8964e-4,7.8300e-4
130,LithiumMetal,-173.5223,-74.1605,-0.000000e0,1.9833e-7,1.7154e-10
131,LithiumMetal,-170.4247,-74.1576,-0.000000e0,2.1292e-8,-3.2854e-10
146,LithiumMetal,-173.5300,-71.1205,-0.000000e0,2.0232e-7,1.3121e-10
147,LithiumMetal,-170.4404,-71.1176,-0.000000e0,2.2836e-8,-2.4026e-10
132,LithiumMetal,-167.3781,-74.1589,-0.000000e0,7.5587e-10,9.5376e-11
133,LithiumMetal,-164.3376,-74.1593,-1.000000e0,4.2517e-7,1.8288e-7
148,LithiumMetal,-167.3994,-71.1189,-0.000000e0,1.0810e-9,6.3838e-11
149,LithiumMetal,-164.3576,-71.1194,-0.000000e0,-1.7713e-9,5.4033e-7
162,LithiumMetal,-173.5405,-68.0805,-0.000000e0,2.0194e-7,1.8420e-10
163,LithiumMetal,-170.4425,-68.0776,-0.000000e0,2.6072e-8,-2.9945e-10
178,LithiumMetal,-173.5106,-65.0405,-0.000000e0,2.0282e-7,2.7179e-10
179,LithiumMetal,-170.4305,-65.0376,-0.000000e0,1.4995e-8,-2.9710e-10
164,LithiumMetal,-167.4007,-68.0789,-0.000000e0,1.2075e-9,8.6083e-11
165,LithiumMetal,-164.3591,-68.0794,-0.000000e0,1.7001e-9,-3.6045e-11
180,LithiumMetal,-167.3873,-65.0389,-0.000000e0,-5.7722e-10,7.0440e-11
181,LithiumMetal,-164.3471,-65.0394,-0.000000e0,-1.8048e-9,-1.1848e-11
134,LithiumMetal,-161.2970,-74.1601,-0.000000e0,-1.8887e-9,3.8842e-11
135,LithiumMetal,-158.2567,-74.1606,-0.000000e0,-1.8335e-9,9.7484e-11
150,LithiumMetal,-161.3166,-71.1201,-0.000000e0,4.2645e-10,-6.4198e-10
151,LithiumMetal,-158.2755,-71.1206,-0.000000e0,1.6166e-9,1.1902e-10
136,LithiumMetal,-155.2166,-74.1596,-0.000000e0,-7.7435e-8,-7.1054e-11
2099,FoilMetal,-151.9800,-74.1600,-0.000000e0,5.7671e-12,1.4784e-15
152,LithiumMetal,-155.2352,-71.1196,-0.000000e0,-7.9823e-8,-8.9261e-11
2101,FoilMetal,-151.9800,-71.1200,-0.000000e0,6.1917e-12,1.4649e-15
166,LithiumMetal,-161.3190,-68.0801,-0.000000e0,6.2977e-10,2.2301e-11
167,LithiumMetal,-158.2780,-68.0806,-0.000000e0,1.4864e-9,1.0086e-10
182,LithiumMetal,-161.3070,-65.0402,-0.000000e0,-1.7946e-9,8.8828e-12
183,LithiumMetal,-158.2670,-65.0406,-0.000000e0,-2.2818e-9,1.2320e-10
168,LithiumMetal,-155.2380,-68.0796,-0.000000e0,-8.0824e-8,-6.7900e-11
2103,FoilMetal,-151.9800,-68.0800,-0.000000e0,6.2550e-12,1.4302e-15
184,LithiumMetal,-155.2258,-65.0396,-0.000000e0,-7.9641e-8,-1.0032e-10
2105,FoilMetal,-151.9800,-65.0400,-0.000000e0,5.9802e-12,1.3936e-15
194,LithiumMetal,-173.5318,-62.0006,-0.000000e0,2.0397e-7,2.1203e-10
195,LithiumMetal,-170.4416,-61.9976,-0.000000e0,2.3240e-8,-2.9872e-10
210,LithiumMetal,-173.5298,-58.9606,-0.000000e0,2.0332e-7,2.0020e-10
211,LithiumMetal,-170.4417,-58.9576,-0.000000e0,2.0498e-8,-2.9132e-10
196,LithiumMetal,-167.4013,-61.9989,-0.000000e0,6.2911e-10,7.1712e-11
197,LithiumMetal,-164.3598,-61.9994,-0.000000e0,1.6617e-9,-3.8534e-11
212,LithiumMetal,-167.3995,-58.9589,-0.000000e0,6.4960e-10,7.1309e-11
213,LithiumMetal,-164.3591,-58.9594,-0.000000e0,-4.9793e-11,-5.8955e-12
226,LithiumMetal,-173.5254,-55.9206,-0.000000e0,2.0587e-7,1.9876e-10
227,LithiumMetal,-170.4438,-55.9176,-0.000000e0,1.7523e-8,-3.0361e-10
242,LithiumMetal,-173.5220,-52.8806,-0.000000e0,2.0678e-7,1.9269e-10
243,LithiumMetal,-170.4432,-52.8776,-0.000000e0,1.6590e-8,-3.0208e-10
228,LithiumMetal,-167.4005,-55.9189,-0.000000e0,1.1622e-9,6.5536e-11
