x,y,radius,charge,species,electrons
-199.905,-120.000,2.500,-0.0000,DMC,1
-198.094,-114.740,2.500,-0.0000,EC,1
-193.094,-114.716,2.500,-0.0000,EC,1
-188.097,-114.897,2.500,-0.0000,EC,1
-182.473,-120.001,2.500,-0.0000,EC,1
-183.662,-115.661,2.000,-1.0000,ElectrolyteAnion,1
-192.560,-106.472,2.500,-0.0000,DMC,1
-197.115,-104.412,2.500,-0.0000,EC,1
-200.004,-100.332,2.500,-0.0000,EC,1
-193.621,-100.648,2.500,-0.0000,DMC,1
-170.155,-120.000,2.500,-0.0000,DMC,1
-165.013,-119.425,2.500,-0.0000,DMC,1
-174.590,-117.690,2.500,-0.0000,EC,1
-166.584,-114.679,2.500,-0.0000,EC,1
-154.553,-119.740,2.500,-0.0000,EC,1
-169.527,-110.636,2.500,-0.0000,DMC,1
-164.554,-110.110,2.500,-0.0000,DMC,1
-157.370,-110.303,2.500,-0.0000,DMC,1
-160.143,-103.168,2.500,-0.0000,DMC,1
-132.029,-116.994,2.500,-0.0000,DMC,1
-144.597,-106.899,2.500,-0.0000,EC,1
-137.863,-109.364,2.000,-1.0000,ElectrolyteAnion,1
-146.027,-102.632,2.000,-1.0000,ElectrolyteAnion,1
-141.767,-105.921,0.760,1.0000,LithiumIon,0
-139.170,-105.041,2.500,-0.0000,EC,1
-141.895,-100.844,2.500,-0.0000,EC,1
-119.015,-120.001,2.500,-0.0000,DMC,1
-118.071,-115.091,2.500,-0.0000,EC,1
-103.588,-119.848,2.500,-0.0000,DMC,1
-101.634,-115.246,2.500,-0.0000,EC,1
-123.183,-110.555,2.500,-0.0000,DMC,1
-116.133,-110.482,2.500,-0.0000,EC,1
-122.965,-105.559,2.500,-0.0000,DMC,1
-112.211,-107.380,2.500,-0.0000,EC,1
-107.855,-106.255,2.000,-1.0000,ElectrolyteAnion,1
-105.910,-108.027,0.760,1.0000,LithiumIon,0
-103.006,-107.941,2.500,-0.0000,EC,1
-107.495,-101.770,2.500,-0.0000,EC,1
-77.850,-119.996,2.500,-0.0000,DMC,1
-99.828,-111.125,2.000,-1.0000,ElectrolyteAnion,1
-95.344,-111.498,2.500,-0.0000,EC,1
-98.112,-106.920,2.500,-0.0000,DMC,1
-90.345,-111.588,2.500,-0.0000,DMC,1
-93.400,-102.502,2.500,-0.0000,DMC,1
-85.357,-111.931,2.500,-0.0000,DMC,1
-76.753,-106.125,2.500,-0.0000,DMC,1
-65.265,-115.695,2.500,-0.0000,EC,1
-71.879,-107.282,2.500,-0.0000,EC,1
-66.123,-110.769,2.500,-0.0000,EC,1
-67.453,-106.468,2.000,-1.0000,ElectrolyteAnion,1
-70.516,-100.579,2.500,-0.0000,EC,1
-67.849,-101.579,0.760,1.0000,LithiumIon,0
-65.200,-102.553,2.500,-0.0000,EC,1
-55.122,-112.454,2.500,-0.0000,DMC,1
-58.964,-100.042,2.500,-0.0000,EC,1
-55.016,-103.109,2.500,-0.0000,DMC,1
-45.255,-119.966,2.500,-0.0000,DMC,1
-37.966,-118.792,2.500,-0.0000,DMC,1
-46.698,-114.099,2.500,-0.0000,DMC,1
-42.020,-115.865,2.500,-0.0000,DMC,1
-29.389,-115.041,2.500,-0.0000,EC,1
-43.174,-109.739,2.500,-0.0000,DMC,1
-39.283,-103.343,2.500,-0.0000,DMC,1
-29.044,-110.053,2.500,-0.0000,EC,1
-32.663,-103.873,2.500,-0.0000,EC,1
-28.483,-105.585,2.000,-1.0000,ElectrolyteAnion,1
-30.538,-102.014,0.760,1.0000,LithiumIon,0
-28.505,-100.064,2.500,-0.0000,EC,1
-14.249,-106.549,2.500,-0.0000,EC,1
-24.020,-106.164,2.500,-0.0000,EC,1
-19.093,-105.311,2.500,-0.0000,EC,1
-10.119,-109.367,2.500,-0.0000,DMC,1
-6.164,-112.432,2.500,-0.0000,DMC,1
-1.345,-111.101,2.500,-0.0000,EC,1
-199.995,-95.333,2.500,-0.0000,EC,1
-200.004,-92.464,0.760,1.0000,LithiumIon,0
-200.003,-89.685,2.500,-0.0000,EC,1
-195.584,-88.839,2.000,-1.0000,ElectrolyteAnion,1
-191.678,-91.099,2.500,-0.0000,EC,1
-192.338,-88.359,0.760,1.0000,LithiumIon,0
-187.911,-88.635,2.000,-1.0000,ElectrolyteAnion,1
-183.420,-88.347,2.500,-0.0000,EC,1
-178.607,-89.699,2.500,-0.0000,DMC,1
-198.076,-85.076,2.500,-0.0000,EC,1
-194.992,-81.799,2.000,-1.0000,ElectrolyteAnion,1
-192.441,-85.502,2.500,-0.0000,EC,1
-187.628,-84.144,2.500,-0.0000,EC,1
-195.557,-77.330,2.500,-0.0000,EC,1
-190.759,-80.249,2.500,-0.0000,EC,1
-193.016,-78.597,0.760,1.0000,LithiumIon,0
-179.738,-84.829,2.500,-0.0000,DMC,1
-170.914,-94.153,2.500,-0.0000,DMC,1
-165.965,-94.863,2.500,-0.0000,EC,1
-173.613,-89.944,2.500,-0.0000,EC,1
-160.978,-95.218,2.500,-0.0000,DMC,1
-153.752,-96.878,2.500,-0.0000,DMC,1
-171.958,-85.225,2.500,-0.0000,DMC,1
-167.012,-85.958,2.500,-0.0000,DMC,1
-162.542,-83.718,2.500,-0.0000,EC,1
-173.919,-80.315,2.500,-0.0000,DMC,1
-168.941,-80.783,2.500,-0.0000,DMC,1
-158.192,-81.253,2.500,-0.0000,DMC,1
-150.975,-79.626,2.500,-0.0000,EC,1
-155.015,-77.544,2.000,-1.0000,ElectrolyteAnion,1
-152.369,-76.959,0.760,1.0000,LithiumIon,0
-150.430,-75.152,2.000,-1.0000,ElectrolyteAnion,1
-195.415,-68.183,2.500,-0.0000,DMC,1
-199.925,-64.603,2.500,-0.0000,DMC,1
-195.129,-63.191,2.500,-0.0000,DMC,1
-190.132,-63.006,2.500,-0.0000,EC,1
-182.504,-74.671,2.500,-0.0000,DMC,1
-185.908,-65.682,2.500,-0.0000,DMC,1
-200.000,-56.461,2.500,-0.0000,DMC,1
-195.229,-54.965,2.500,-0.0000,DMC,1
-190.563,-53.169,2.500,-0.0000,DMC,1
-185.704,-60.686,2.500,-0.0000,DMC,1
-180.716,-60.352,2.500,-0.0000,EC,1
-175.749,-59.801,2.500,-0.0000,EC,1
-180.554,-55.269,2.500,-0.0000,DMC,1
-176.192,-52.824,2.500,-0.0000,EC,1
-157.678,-73.917,2.500,-0.0000,EC,1
-160.625,-69.878,2.500,-0.0000,EC,1
-155.407,-72.370,0.760,1.0000,LithiumIon,0
-152.782,-71.319,2.500,-0.0000,EC,1
-161.781,-63.655,2.500,-0.0000,EC,1
-156.931,-64.857,2.500,-0.0000,EC,1
-152.885,-66.824,2.000,-1.0000,ElectrolyteAnion,1
-170.778,-59.298,2.500,-0.0000,EC,1
-166.300,-61.522,2.500,-0.0000,EC,1
-145.470,-88.656,2.500,-0.0000,DMC,1
-140.475,-88.434,2.500,-0.0000,DMC,1
-129.946,-97.554,2.500,-0.0000,EC,1
-131.583,-89.095,2.500,-0.0000,EC,1
-129.682,-91.192,0.760,1.0000,LithiumIon,0
-127.656,-93.110,2.500,-0.0000,EC,1
-127.096,-88.641,2.000,-1.0000,ElectrolyteAnion,1
-129.234,-84.678,2.500,-0.0000,DMC,1
-134.107,-77.058,2.500,-0.0000,DMC,1
-126.704,-77.974,2.500,-0.0000,DMC,1
-124.948,-97.312,2.500,-0.0000,EC,1
-120.623,-99.821,2.500,-0.0000,DMC,1
-122.663,-92.861,2.500,-0.0000,EC,1
-122.661,-87.861,2.500,-0.0000,EC,1
-113.465,-91.159,2.500,-0.0000,DMC,1
-107.924,-96.788,2.500,-0.0000,DMC,1
-109.348,-88.243,2.500,-0.0000,DMC,1
-113.527,-85.457,2.500,-0.0000,DMC,1
-107.467,-79.042,2.500,-0.0000,EC,1
-111.917,-76.764,2.500,-0.0000,EC,1
-102.536,-79.864,2.500,-0.0000,EC,1
-140.635,-74.908,2.500,-0.0000,DMC,1
-149.326,-64.074,2.500,-0.0000,EC,1
-133.186,-72.144,2.500,-0.0000,EC,1
-128.226,-71.514,2.500,-0.0000,EC,1
-136.901,-63.036,2.500,-0.0000,EC,1
-146.768,-59.778,2.500,-0.0000,DMC,1
-147.318,-54.782,2.500,-0.0000,DMC,1
-141.549,-53.331,2.000,0.0000,SEI,0
-138.285,-55.773,2.000,0.0000,SEI,0
-138.424,-50.835,2.000,0.0000,SEI,0
-131.629,-57.605,2.500,-0.0000,DMC,1
-129.326,-62.044,2.500,-0.0000,DMC,1
-134.599,-54.220,2.000,0.0000,SEI,0
-134.492,-50.103,2.000,0.0000,SEI,0
-127.963,-54.589,2.000,0.0000,SEI,0
-130.692,-51.353,2.000,0.0000,SEI,0
-126.765,-50.590,2.000,0.0000,SEI,0
-123.248,-71.046,2.500,-0.0000,EC,1
-118.817,-70.264,2.000,-1.0000,ElectrolyteAnion,1
-115.759,-73.565,2.500,-0.0000,EC,1
-117.229,-66.054,2.500,-0.0000,EC,1
-124.340,-56.308,2.000,0.0000,SEI,0
-120.790,-58.294,2.000,0.0000,SEI,0
-115.759,-61.275,2.500,-0.0000,EC,1
-115.327,-56.614,2.000,0.0000,SEI,0
-118.881,-54.779,2.000,0.0000,SEI,0
-122.553,-52.177,2.500,-0.0000,EC,1
-116.760,-50.989,2.000,0.0000,SEI,0
-107.946,-59.532,2.000,0.0000,SEI,0
-111.831,-58.580,2.000,0.0000,SEI,0
-104.409,-62.321,2.500,-0.0000,DMC,1
-111.107,-54.092,2.500,-0.0000,EC,1
-101.935,-53.609,2.000,0.0000,SEI,0
-105.482,-51.755,2.000,0.0000,SEI,0
-199.858,-48.803,2.500,-0.0000,DMC,1
-193.483,-45.304,2.500,-0.0000,DMC,1
-189.052,-42.987,2.500,-0.0000,DMC,1
-194.783,-36.237,2.500,-0.0000,DMC,1
-187.910,-34.243,2.500,-0.0000,DMC,1
-195.999,-26.996,2.500,-0.0000,DMC,1
-189.199,-26.257,2.500,-0.0000,EC,1
-181.694,-34.265,0.760,1.0000,LithiumIon,0
-182.295,-31.476,2.500,-0.0000,EC,1
-180.591,-36.819,2.500,-0.0000,EC,1
-176.091,-36.806,2.000,-1.0000,ElectrolyteAnion,1
-186.492,-29.853,2.000,-1.0000,ElectrolyteAnion,1
-186.498,-25.587,0.760,1.0000,LithiumIon,0
-183.702,-25.265,2.500,-0.0000,EC,1
-175.956,-29.828,2.500,-0.0000,EC,1
-179.903,-27.667,2.000,-1.0000,ElectrolyteAnion,1
-173.098,-48.896,2.500,-0.0000,EC,1
-169.063,-45.941,2.500,-0.0000,DMC,1
-168.416,-40.983,2.500,-0.0000,EC,1
-171.603,-37.131,2.500,-0.0000,DMC,1
-166.072,-36.249,2.500,-0.0000,DMC,1
-172.285,-26.436,2.500,-0.0000,EC,1
-162.077,-31.917,2.500,-0.0000,DMC,1
-152.168,-31.601,2.500,-0.0000,EC,1
-157.144,-31.103,2.500,-0.0000,EC,1
-192.649,-20.140,2.500,-0.0000,DMC,1
-188.967,-16.365,2.500,-0.0000,DMC,1
-185.160,-21.007,2.000,-1.0000,ElectrolyteAnion,1
-179.046,-23.253,2.500,-0.0000,EC,1
-180.184,-20.630,0.760,1.0000,LithiumIon,0
-181.620,-18.228,2.500,-0.0000,EC,1
-177.169,-15.272,2.500,-0.0000,DMC,1
-196.068,-9.661,2.500,-0.0000,DMC,1
-200.000,-6.573,2.500,-0.0000,EC,1
-191.779,-12.230,2.500,-0.0000,EC,1
-195.428,-4.550,2.500,-0.0000,DMC,1
-190.004,-5.266,2.500,-0.0000,DMC,1
-191.012,-0.369,2.500,-0.0000,DMC,1
-186.449,-12.045,2.500,-0.0000,DMC,1
-179.551,-9.903,2.500,-0.0000,DMC,1
-185.830,-0.180,2.500,-0.0000,EC,1
-177.642,-5.160,2.500,-0.0000,DMC,1
-174.684,-22.148,2.000,-1.0000,ElectrolyteAnion,1
-170.737,-24.094,0.760,1.0000,LithiumIon,0
-169.305,-21.613,2.500,-0.0000,EC,1
-172.817,-18.054,2.500,-0.0000,EC,1
-162.754,-16.805,2.500,-0.0000,DMC,1
-150.100,-24.832,2.500,-0.0000,DMC,1
-153.711,-19.519,2.500,-0.0000,DMC,1
-157.759,-16.585,2.500,-0.0000,DMC,1
-174.018,-9.481,2.500,-0.0000,DMC,1
-169.262,-11.086,2.500,-0.0000,DMC,1
-163.883,-11.934,2.500,-0.0000,EC,1
-165.892,-7.305,2.500,-0.0000,DMC,1
-167.293,-2.495,2.500,-0.0000,DMC,1
-158.394,-6.548,2.500,-0.0000,DMC,1
-150.673,-7.981,2.500,-0.0000,DMC,1
-162.387,-3.536,2.500,-0.0000,DMC,1
-152.865,-3.487,2.500,-0.0000,EC,1
-147.658,-49.794,2.500,-0.0000,DMC,1
-142.737,-49.503,2.000,0.0000,SEI,0
-138.159,-41.986,2.000,0.0000,SEI,0
-142.108,-39.977,2.000,0.0000,SEI,0
-138.478,-38.480,1.520,-0.0000,FoilMetal,1
-131.638,-46.381,2.500,-0.0000,DMC,1
-134.165,-41.762,2.000,0.0000,SEI,0
-135.438,-38.480,1.520,-0.0000,FoilMetal,1
-132.398,-38.481,1.520,-0.0000,FoilMetal,1
-130.168,-41.906,2.000,0.0000,SEI,0
-126.169,-41.998,2.000,0.0000,SEI,0
-129.358,-38.481,1.520,-0.0000,FoilMetal,1
-126.318,-38.481,1.520,-0.0000,FoilMetal,1
-147.169,-31.509,2.500,-0.0000,EC,1
-138.475,-35.440,1.520,-0.0000,FoilMetal,1
-138.474,-32.400,1.520,-0.0000,FoilMetal,1
-142.215,-30.836,2.500,-0.0000,DMC,1
-138.475,-29.360,1.520,-0.0000,FoilMetal,1
-138.475,-26.320,1.520,-0.0000,FoilMetal,1
-135.435,-35.440,1.520,-0.0000,FoilMetal,1
-132.395,-35.441,1.520,-0.0000,FoilMetal,1
-135.434,-32.400,1.520,-0.0000,FoilMetal,1
-132.394,-32.401,1.520,-0.0000,FoilMetal,1
-129.355,-35.441,1.520,-0.0000,FoilMetal,1
-126.315,-35.441,1.520,-0.0000,FoilMetal,1
-129.354,-32.401,1.520,-0.0000,FoilMetal,1
-126.314,-32.401,1.520,-0.0000,FoilMetal,1
-135.435,-29.360,1.520,-0.0000,FoilMetal,1
-132.395,-29.361,1.520,-0.0000,FoilMetal,1
-135.435,-26.320,1.520,-0.0000,FoilMetal,1
-132.395,-26.321,1.520,-0.0000,FoilMetal,1
-129.355,-29.361,1.520,-0.0000,FoilMetal,1
-126.315,-29.361,1.520,-0.0000,FoilMetal,1
-129.355,-26.321,1.520,-0.0000,FoilMetal,1
-126.315,-26.321,1.520,-0.0000,FoilMetal,1
-122.530,-47.177,2.500,-0.0000,EC,1
-113.622,-48.074,2.000,0.0000,SEI,0
-117.540,-45.860,2.500,-0.0000,DMC,1
-112.750,-44.092,2.000,0.0000,SEI,0
-121.676,-42.251,2.500,-0.0000,DMC,1
-123.278,-38.481,1.520,-0.0000,FoilMetal,1
-120.239,-38.408,1.520,-0.0000,LithiumMetal,1
-115.926,-41.660,2.000,0.0000,SEI,0
-117.200,-38.379,1.520,-0.0000,LithiumMetal,1
-114.160,-38.375,1.520,-0.0000,LithiumMetal,1
-109.328,-49.419,2.500,-0.0000,EC,1
-107.877,-45.159,2.000,0.0000,SEI,0
-102.388,-49.220,2.000,0.0000,SEI,0
-103.888,-45.465,2.000,0.0000,SEI,0
-109.644,-41.571,2.000,0.0000,SEI,0
-111.120,-38.375,1.520,-0.0000,LithiumMetal,1
-108.080,-38.373,1.520,-0.0000,LithiumMetal,1
-105.613,-41.855,2.000,0.0000,SEI,0
-100.271,-41.933,2.500,-0.0000,EC,1
-105.040,-38.361,1.520,-0.0000,LithiumMetal,1
-102.000,-38.302,1.520,-0.0000,LithiumMetal,1
-123.275,-35.441,1.520,-0.0000,FoilMetal,1
-120.236,-35.368,1.520,-0.0000,LithiumMetal,1
-123.274,-32.401,1.520,-0.0000,FoilMetal,1
-120.235,-32.329,1.520,-0.0000,LithiumMetal,1
-117.196,-35.340,1.520,-0.0000,LithiumMetal,1
-114.156,-35.336,1.520,-0.0000,LithiumMetal,1
-117.195,-32.302,1.520,-0.0000,LithiumMetal,1
-114.155,-32.298,1.520,-0.0000,LithiumMetal,1
-123.275,-29.361,1.520,-0.0000,FoilMetal,1
-120.236,-29.290,1.520,-0.0000,LithiumMetal,1
-123.275,-26.321,1.520,-0.0000,FoilMetal,1
-120.236,-26.251,1.520,-0.0000,LithiumMetal,1
-117.196,-29.263,1.520,-0.0000,LithiumMetal,1
-114.156,-29.260,1.520,-0.0000,LithiumMetal,1
-117.196,-26.225,1.520,-0.0000,LithiumMetal,1
-114.156,-26.221,1.520,-0.0000,LithiumMetal,1
-111.116,-35.336,1.520,-0.0000,LithiumMetal,1
-108.076,-35.335,1.520,-0.0000,LithiumMetal,1
-111.115,-32.298,1.520,-0.0000,LithiumMetal,1
-108.075,-32.296,1.520,-0.0000,LithiumMetal,1
-105.036,-35.321,1.520,-0.0000,LithiumMetal,1
-101.997,-35.263,1.520,-0.0000,LithiumMetal,1
-105.035,-32.283,1.520,-0.0000,LithiumMetal,1
-101.996,-32.225,1.520,-0.0000,LithiumMetal,1
-111.116,-29.259,1.520,-0.0000,LithiumMetal,1
-108.076,-29.258,1.520,-0.0000,LithiumMetal,1
-111.116,-26.221,1.520,-0.0000,LithiumMetal,1
-108.076,-26.219,1.520,-0.0000,LithiumMetal,1
-105.036,-29.245,1.520,-0.0000,LithiumMetal,1
-101.996,-29.187,1.520,-0.0000,LithiumMetal,1
-105.036,-26.206,1.520,-0.0000,LithiumMetal,1
-101.997,-26.148,1.520,-0.0000,LithiumMetal,1
-138.475,-23.280,1.520,-0.0000,FoilMetal,1
-142.495,-20.229,2.500,-0.0000,DMC,1
-138.474,-20.240,1.520,-0.0000,FoilMetal,1
-145.755,-16.438,2.500,-0.0000,EC,1
-149.164,-12.780,2.500,-0.0000,EC,1
-138.474,-17.200,1.520,-0.0000,FoilMetal,1
-138.474,-14.160,1.520,-0.0000,FoilMetal,1
-135.435,-23.280,1.520,-0.0000,FoilMetal,1
-132.395,-23.281,1.520,-0.0000,FoilMetal,1
-135.434,-20.240,1.520,-0.0000,FoilMetal,1
-132.394,-20.241,1.520,-0.0000,FoilMetal,1
-129.355,-23.281,1.520,-0.0000,FoilMetal,1
-126.315,-23.281,1.520,-0.0000,FoilMetal,1
-129.354,-20.241,1.520,-0.0000,FoilMetal,1
-126.314,-20.241,1.520,-0.0000,FoilMetal,1
-135.434,-17.200,1.520,-0.0000,FoilMetal,1
-132.394,-17.201,1.520,-0.0000,FoilMetal,1
-135.434,-14.160,1.520,-0.0000,FoilMetal,1
-132.394,-14.161,1.520,-0.0000,FoilMetal,1
-129.354,-17.201,1.520,-0.0000,FoilMetal,1
-126.314,-17.201,1.520,-0.0000,FoilMetal,1
-129.354,-14.161,1.520,-0.0000,FoilMetal,1
-126.314,-14.162,1.520,-0.0000,FoilMetal,1
-138.474,-11.120,1.520,-0.0000,FoilMetal,1
-138.474,-8.080,1.520,-0.0000,FoilMetal,1
-138.474,-5.040,1.520,-0.0000,FoilMetal,1
-138.474,-2.000,1.520,-0.0000,FoilMetal,1
-135.434,-11.120,1.520,-0.0000,FoilMetal,1
-132.394,-11.121,1.520,-0.0000,FoilMetal,1
-135.434,-8.080,1.520,-0.0000,FoilMetal,1
-132.394,-8.081,1.520,-0.0000,FoilMetal,1
-129.354,-11.121,1.520,-0.0000,FoilMetal,1
-126.314,-11.122,1.520,-0.0000,FoilMetal,1
-129.354,-8.081,1.520,-0.0000,FoilMetal,1
-126.314,-8.082,1.520,-0.0000,FoilMetal,1
-135.434,-5.040,1.520,-0.0000,FoilMetal,1
-132.394,-5.041,1.520,-0.0000,FoilMetal,1
-135.434,-2.000,1.520,-0.0000,FoilMetal,1
-132.394,-2.001,1.520,-0.0000,FoilMetal,1
-129.354,-5.041,1.520,-0.0000,FoilMetal,1
-126.314,-5.042,1.520,-0.0000,FoilMetal,1
-129.354,-2.001,1.520,-0.0000,FoilMetal,1
-126.314,-2.002,1.520,-0.0000,FoilMetal,1
-123.275,-23.281,1.520,-0.0000,FoilMetal,1
-120.235,-23.212,1.520,-0.0000,LithiumMetal,1
-123.274,-20.241,1.520,-0.0000,FoilMetal,1
-120.235,-20.172,1.520,-0.0000,LithiumMetal,1
-117.196,-23.186,1.520,-0.0000,LithiumMetal,1
-114.156,-23.183,1.520,-0.0000,LithiumMetal,1
-117.195,-20.148,1.520,-0.0000,LithiumMetal,1
-114.155,-20.144,1.520,-0.0000,LithiumMetal,1
-123.274,-17.201,1.520,-0.0000,FoilMetal,1
-120.235,-17.133,1.520,-0.0000,LithiumMetal,1
-123.274,-14.161,1.520,-0.0000,FoilMetal,1
-120.235,-14.095,1.520,-0.0000,LithiumMetal,1
-117.195,-17.109,1.520,-0.0000,LithiumMetal,1
-114.155,-17.106,1.520,-0.0000,LithiumMetal,1
-117.195,-14.071,1.520,-0.0000,LithiumMetal,1
-114.155,-14.067,1.520,-0.0000,LithiumMetal,1
-111.116,-23.183,1.520,-0.0000,LithiumMetal,1
-108.076,-23.181,1.520,-0.0000,LithiumMetal,1
-111.115,-20.144,1.520,-0.0000,LithiumMetal,1
-108.075,-20.142,1.520,-0.0000,LithiumMetal,1
-105.036,-23.168,1.520,-0.0000,LithiumMetal,1
-101.996,-23.110,1.520,-0.0000,LithiumMetal,1
-105.035,-20.129,1.520,-0.0000,LithiumMetal,1
-101.996,-20.072,1.520,-0.0000,LithiumMetal,1
-111.115,-17.106,1.520,-0.0000,LithiumMetal,1
-108.075,-17.104,1.520,-0.0000,LithiumMetal,1
-111.115,-14.067,1.520,-0.0000,LithiumMetal,1
-108.075,-14.065,1.520,-0.0000,LithiumMetal,1
-105.035,-17.091,1.520,-0.0000,LithiumMetal,1
-101.996,-17.033,1.520,-0.0000,LithiumMetal,1
-105.035,-14.053,1.520,-0.0000,LithiumMetal,1
-101.996,-13.995,1.520,-0.0000,LithiumMetal,1
-123.274,-11.121,1.520,-0.0000,FoilMetal,1
-120.235,-11.055,1.520,-0.0000,LithiumMetal,1
-123.274,-8.081,1.520,-0.0000,FoilMetal,1
-120.235,-8.016,1.520,-0.0000,LithiumMetal,1
-117.195,-11.033,1.520,-0.0000,LithiumMetal,1
-114.155,-11.029,1.520,-0.0000,LithiumMetal,1
-117.195,-7.994,1.520,-0.0000,LithiumMetal,1
-114.155,-7.991,1.520,-0.0000,LithiumMetal,1
-123.274,-5.041,1.520,-0.0000,FoilMetal,1
-120.235,-4.977,1.520,-0.0000,LithiumMetal,1
-123.274,-2.001,1.520,-0.0000,FoilMetal,1
-120.235,-1.937,1.520,-0.0000,LithiumMetal,1
-117.195,-4.956,1.520,-0.0000,LithiumMetal,1
-114.156,-4.952,1.520,-0.0000,LithiumMetal,1
-117.196,-1.917,1.520,-0.0000,LithiumMetal,1
-114.157,-1.914,1.520,-0.0000,LithiumMetal,1
-111.115,-11.029,1.520,-0.0000,LithiumMetal,1
-108.075,-11.027,1.520,-0.0000,LithiumMetal,1
-111.115,-7.990,1.520,-0.0000,LithiumMetal,1
-108.075,-7.989,1.520,-0.0000,LithiumMetal,1
-105.035,-11.014,1.520,-0.0000,LithiumMetal,1
-101.996,-10.957,1.520,-0.0000,LithiumMetal,1
-105.036,-7.976,1.520,-0.0000,LithiumMetal,1
-101.996,-7.918,1.520,-0.0000,LithiumMetal,1
-111.116,-4.952,1.520,-0.0000,LithiumMetal,1
-108.076,-4.950,1.520,-0.0000,LithiumMetal,1
-111.117,-1.913,1.520,-0.0000,LithiumMetal,1
-108.078,-1.912,1.520,-0.0000,LithiumMetal,1
-105.037,-4.938,1.520,-0.0000,LithiumMetal,1
-101.997,-4.879,1.520,-0.0000,LithiumMetal,1
-105.038,-1.899,1.520,-0.0000,LithiumMetal,1
-101.999,-1.840,1.520,-0.0000,LithiumMetal,1
-96.676,-96.522,2.500,-0.0000,DMC,1
-90.152,-98.701,2.500,-0.0000,EC,1
-94.120,-92.225,2.500,-0.0000,EC,1
-90.784,-88.501,2.500,-0.0000,EC,1
-87.406,-94.522,2.500,-0.0000,DMC,1
-85.633,-89.814,2.500,-0.0000,DMC,1
-91.757,-83.074,2.500,-0.0000,DMC,1
-97.547,-79.543,2.500,-0.0000,EC,1
-92.815,-77.933,2.500,-0.0000,DMC,1
-87.164,-85.052,2.500,-0.0000,EC,1
-83.091,-82.152,2.500,-0.0000,DMC,1
-78.212,-83.264,2.500,-0.0000,DMC,1
-76.185,-76.631,2.500,-0.0000,DMC,1
-67.488,-97.243,2.000,-1.0000,ElectrolyteAnion,1
-62.990,-97.077,2.500,-0.0000,EC,1
-68.743,-92.922,2.500,-0.0000,EC,1
-65.333,-89.265,2.500,-0.0000,DMC,1
-55.539,-93.165,2.500,-0.0000,EC,1
-50.853,-91.421,2.500,-0.0000,EC,1
-68.799,-81.670,2.500,-0.0000,DMC,1
-63.630,-83.375,2.500,-0.0000,DMC,1
-73.754,-81.000,2.500,-0.0000,DMC,1
-66.427,-76.105,2.500,-0.0000,DMC,1
-58.669,-82.249,2.500,-0.0000,DMC,1
-62.102,-78.614,2.500,-0.0000,DMC,1
-54.774,-79.110,2.500,-0.0000,DMC,1
-51.418,-75.401,2.500,-0.0000,EC,1
-89.790,-73.951,2.500,-0.0000,EC,1
-84.807,-73.543,2.500,-0.0000,DMC,1
-80.620,-70.809,2.500,-0.0000,DMC,1
-87.708,-56.833,2.000,0.0000,SEI,0
-95.823,-53.961,2.000,0.0000,SEI,0
-98.731,-51.214,2.000,0.0000,SEI,0
-91.853,-53.472,2.000,0.0000,SEI,0
-77.988,-57.319,2.500,-0.0000,DMC,1
-83.778,-55.212,2.000,0.0000,SEI,0
-87.255,-52.356,2.500,-0.0000,DMC,1
-82.894,-51.245,2.000,0.0000,SEI,0
-75.332,-53.686,2.000,0.0000,SEI,0
-79.254,-52.904,2.000,0.0000,SEI,0
-74.608,-71.886,2.500,-0.0000,DMC,1
-69.622,-72.259,2.500,-0.0000,DMC,1
-71.792,-67.754,2.500,-0.0000,EC,1
-70.694,-63.390,2.000,-1.0000,ElectrolyteAnion,1
-66.530,-65.097,2.500,-0.0000,DMC,1
-56.306,-74.349,2.500,-0.0000,DMC,1
-62.054,-67.324,2.500,-0.0000,DMC,1
-57.068,-67.694,2.500,-0.0000,DMC,1
-52.068,-67.756,2.500,-0.0000,DMC,1
-74.288,-60.682,2.500,-0.0000,EC,1
-67.524,-60.197,2.500,-0.0000,DMC,1
-62.529,-59.964,2.500,-0.0000,DMC,1
-70.565,-53.624,2.000,0.0000,SEI,0
-72.990,-50.443,2.000,0.0000,SEI,0
-64.560,-54.568,2.000,0.0000,SEI,0
-67.158,-51.527,2.000,0.0000,SEI,0
-57.619,-59.019,2.500,-0.0000,EC,1
-52.619,-59.005,2.500,-0.0000,DMC,1
-58.333,-53.440,2.000,0.0000,SEI,0
-62.017,-50.856,2.500,-0.0000,EC,1
-50.797,-54.891,2.000,0.0000,SEI,0
-54.354,-53.029,2.000,0.0000,SEI,0
-50.041,-50.412,2.500,-0.0000,DMC,1
-38.114,-94.019,2.500,-0.0000,EC,1
-46.190,-89.616,2.500,-0.0000,EC,1
-39.836,-91.781,0.760,1.0000,LithiumIon,0
-41.202,-89.401,2.500,-0.0000,EC,1
-36.614,-98.258,2.000,-1.0000,ElectrolyteAnion,1
-32.371,-96.760,2.500,-0.0000,EC,1
-32.997,-93.961,0.760,1.0000,LithiumIon,0
-28.027,-95.597,2.000,-1.0000,ElectrolyteAnion,1
-34.120,-91.011,2.500,-0.0000,EC,1
-25.804,-91.697,2.500,-0.0000,EC,1
-27.363,-89.428,0.760,1.0000,LithiumIon,0
-40.784,-84.419,2.500,-0.0000,EC,1
